UF;Escolaridade;Município;Eleitorado;Com biometria;Com biometria (%);Com nome social;Com deficiência;Data de carga
AC;ANALFABETO;ACRELÂNDIA;916;911;0,9945;0;17;2022-05-09 15:53:28
AC;ANALFABETO;ASSIS BRASIL;836;832;0,9952;0;8;2022-05-09 15:53:28
AC;ANALFABETO;BRASILÉIA;1208;1187;0,9826;0;64;2022-05-09 15:53:28
AC;ANALFABETO;BUJARI;1016;1012;0,9961;0;7;2022-05-09 15:53:28
AC;ANALFABETO;CAPIXABA;760;756;0,9947;0;41;2022-05-09 15:53:28
AC;ANALFABETO;CRUZEIRO DO SUL;5611;5593;0,9968;0;66;2022-05-09 15:53:28
AC;ANALFABETO;EPITACIOLÂNDIA;754;748;0,992;0;44;2022-05-09 15:53:28
AC;ANALFABETO;FEIJÓ;4925;3706;0,7525;0;77;2022-05-09 15:53:28
AC;ANALFABETO;JORDÃO;1066;793;0,7439;0;4;2022-05-09 15:53:28
AC;ANALFABETO;MANOEL URBANO;1274;946;0,7425;0;17;2022-05-09 15:53:28
AC;ANALFABETO;MARECHAL THAUMATURGO;2313;1849;0,7994;0;11;2022-05-09 15:53:28
AC;ANALFABETO;MÂNCIO LIMA;1596;1260;0,7895;0;52;2022-05-09 15:53:28
AC;ANALFABETO;PLÁCIDO DE CASTRO;1083;1079;0,9963;0;41;2022-05-09 15:53:28
AC;ANALFABETO;PORTO ACRE;1229;1226;0,9976;0;48;2022-05-09 15:53:28
AC;ANALFABETO;PORTO WALTER;1210;1066;0,881;0;7;2022-05-09 15:53:28
AC;ANALFABETO;RIO BRANCO;9768;9725;0,9956;0;304;2022-05-09 15:53:28
AC;ANALFABETO;RODRIGUES ALVES;1723;1263;0,733;0;29;2022-05-09 15:53:28
AC;ANALFABETO;SANTA ROSA DO PURUS;823;634;0,7704;0;1;2022-05-09 15:53:28
AC;ANALFABETO;SENA MADUREIRA;4267;3181;0,7455;0;63;2022-05-09 15:53:28
AC;ANALFABETO;SENADOR GUIOMARD;1168;1163;0,9957;0;35;2022-05-09 15:53:28
AC;ANALFABETO;TARAUACÁ;6261;4842;0,7734;0;94;2022-05-09 15:53:28
AC;ANALFABETO;XAPURI;1170;1166;0,9966;0;30;2022-05-09 15:53:28
AC;ENSINO FUNDAMENTAL COMPLETO;ACRELÂNDIA;589;583;0,9898;0;3;2022-05-09 15:53:28
AC;ENSINO FUNDAMENTAL COMPLETO;ASSIS BRASIL;351;344;0,9801;0;0;2022-05-09 15:53:28
AC;ENSINO FUNDAMENTAL COMPLETO;BRASILÉIA;869;850;0,9781;0;0;2022-05-09 15:53:28
AC;ENSINO FUNDAMENTAL COMPLETO;BUJARI;634;631;0,9953;0;0;2022-05-09 15:53:28
AC;ENSINO FUNDAMENTAL COMPLETO;CAPIXABA;370;363;0,9811;0;2;2022-05-09 15:53:28
AC;ENSINO FUNDAMENTAL COMPLETO;CRUZEIRO DO SUL;2861;2842;0,9934;0;4;2022-05-09 15:53:28
AC;ENSINO FUNDAMENTAL COMPLETO;EPITACIOLÂNDIA;616;605;0,9821;0;4;2022-05-09 15:53:28
AC;ENSINO FUNDAMENTAL COMPLETO;FEIJÓ;525;489;0,9314;0;4;2022-05-09 15:53:28
AC;ENSINO FUNDAMENTAL COMPLETO;JORDÃO;306;304;0,9935;0;1;2022-05-09 15:53:28
AC;ENSINO FUNDAMENTAL COMPLETO;MANOEL URBANO;256;233;0,9102;0;1;2022-05-09 15:53:28
AC;ENSINO FUNDAMENTAL COMPLETO;MARECHAL THAUMATURGO;334;318;0,9521;0;1;2022-05-09 15:53:28
AC;ENSINO FUNDAMENTAL COMPLETO;MÂNCIO LIMA;353;337;0,9547;0;1;2022-05-09 15:53:28
AC;ENSINO FUNDAMENTAL COMPLETO;PLÁCIDO DE CASTRO;533;525;0,985;0;3;2022-05-09 15:53:28
AC;ENSINO FUNDAMENTAL COMPLETO;PORTO ACRE;805;800;0,9938;0;4;2022-05-09 15:53:28
AC;ENSINO FUNDAMENTAL COMPLETO;PORTO WALTER;351;336;0,9573;0;0;2022-05-09 15:53:28
AC;ENSINO FUNDAMENTAL COMPLETO;RIO BRANCO;14606;14561;0,9969;2;50;2022-05-09 15:53:28
AC;ENSINO FUNDAMENTAL COMPLETO;RODRIGUES ALVES;479;437;0,9123;0;4;2022-05-09 15:53:28
