aa_eleicao;nm_regiao;sg_uf;nm_municipio;sg_partido;ds_cargo;cd_cargo;pc_candidato;qt_votos_validos;qt_votos_nom_validos;qt_total_vt_leg_validos
2020;NORTE;AC;ACRELÂNDIA;MDB;Prefeito;11;1;2638;2638;0
2020;NORTE;AC;ACRELÂNDIA;PDT;Prefeito;11;1;1237;1237;0
2020;NORTE;AC;ACRELÂNDIA;PP;Prefeito;11;1;2405;2405;0
2020;NORTE;AC;ACRELÂNDIA;PROS;Prefeito;11;1;569;569;0
2020;NORTE;AC;ASSIS BRASIL;MDB;Prefeito;11;1;387;387;0
2020;NORTE;AC;ASSIS BRASIL;PC do B;Prefeito;11;1;749;749;0
2020;NORTE;AC;ASSIS BRASIL;PSD;Prefeito;11;1;1082;1082;0
2020;NORTE;AC;ASSIS BRASIL;PSDB;Prefeito;11;1;964;964;0
2020;NORTE;AC;ASSIS BRASIL;PT;Prefeito;11;1;1583;1583;0
2020;NORTE;AC;BRASILÉIA;MDB;Prefeito;11;1;4590;4590;0
2020;NORTE;AC;BRASILÉIA;PSDB;Prefeito;11;1;627;627;0
2020;NORTE;AC;BRASILÉIA;PT;Prefeito;11;1;7651;7651;0
2020;NORTE;AC;BUJARI;PDT;Prefeito;11;1;3386;3386;0
2020;NORTE;AC;BUJARI;PP;Prefeito;11;1;2311;2311;0
2020;NORTE;AC;BUJARI;PSB;Prefeito;11;1;735;735;0
2020;NORTE;AC;BUJARI;PT;Prefeito;11;1;188;188;0
2020;NORTE;AC;BUJARI;SOLIDARIEDADE;Prefeito;11;1;431;431;0
2020;NORTE;AC;CAPIXABA;DEM;Prefeito;11;1;2627;2627;0
2020;NORTE;AC;CAPIXABA;MDB;Prefeito;11;1;1318;1318;0
2020;NORTE;AC;CAPIXABA;PT;Prefeito;11;1;1228;1228;0
2020;NORTE;AC;CAPIXABA;PTB;Prefeito;11;1;724;724;0
2020;NORTE;AC;CRUZEIRO DO SUL;MDB;Prefeito;11;1;14666;14666;0
2020;NORTE;AC;CRUZEIRO DO SUL;PP;Prefeito;11;1;18766;18766;0
2020;NORTE;AC;CRUZEIRO DO SUL;PSL;Prefeito;11;1;9077;9077;0
2020;NORTE;AC;EPITACIOLÂNDIA;PP;Prefeito;11;1;741;741;0
2020;NORTE;AC;EPITACIOLÂNDIA;PSDB;Prefeito;11;1;3984;3984;0
2020;NORTE;AC;EPITACIOLÂNDIA;PSL;Prefeito;11;1;3328;3328;0
2020;NORTE;AC;EPITACIOLÂNDIA;PT;Prefeito;11;1;983;983;0
2020;NORTE;AC;FEIJÓ;MDB;Prefeito;11;1;5716;5716;0
2020;NORTE;AC;FEIJÓ;PP;Prefeito;11;1;8528;8528;0
2020;NORTE;AC;FEIJÓ;PSL;Prefeito;11;1;546;546;0
2020;NORTE;AC;FEIJÓ;PT;Prefeito;11;1;706;706;0
2020;NORTE;AC;JORDÃO;MDB;Prefeito;11;1;1053;1053;0
2020;NORTE;AC;JORDÃO;PC do B;Prefeito;11;1;768;768;0
2020;NORTE;AC;JORDÃO;PDT;Prefeito;11;1;1264;1264;0
2020;NORTE;AC;JORDÃO;PL;Prefeito;11;1;186;186;0
2020;NORTE;AC;JORDÃO;PT;Prefeito;11;1;915;915;0
2020;NORTE;AC;MANOEL URBANO;MDB;Prefeito;11;1;3082;3082;0
2020;NORTE;AC;MANOEL URBANO;PSD;Prefeito;11;1;2314;2314;0
2020;NORTE;AC;MARECHAL THAUMATURGO;PROS;Prefeito;11;1;549;549;0
2020;NORTE;AC;MARECHAL THAUMATURGO;PSD;Prefeito;11;1;4521;4521;0
2020;NORTE;AC;MARECHAL THAUMATURGO;PT;Prefeito;11;1;3303;3303;0
2020;NORTE;AC;MÂNCIO LIMA;MDB;Prefeito;11;1;3460;3460;0
2020;NORTE;AC;MÂNCIO LIMA;PT;Prefeito;11;1;4115;4115;0
2020;NORTE;AC;PLÁCIDO DE CASTRO;MDB;Prefeito;11;1;2679;2679;0
2020;NORTE;AC;PLÁCIDO DE CASTRO;PSD;Prefeito;11;1;3838;3838;0
2020;NORTE;AC;PLÁCIDO DE CASTRO;PSDB;Prefeito;11;1;2800;2800;0
2020;NORTE;AC;PLÁCIDO DE CASTRO;PSL;Prefeito;11;1;94;94;0
2020;NORTE;AC;PORTO ACRE;MDB;Prefeito;11;1;2761;2761;0
2020;NORTE;AC;PORTO ACRE;PP;Prefeito;11;1;5415;5415;0
2020;NORTE;AC;PORTO ACRE;PSB;Prefeito;11;1;123;123;0
2020;NORTE;AC;PORTO ACRE;PSL;Prefeito;11;1;169;169;0
2020;NORTE;AC;PORTO ACRE;REPUBLICANOS;Prefeito;11;1;1063;1063;0
2020;NORTE;AC;PORTO WALTER;MDB;Prefeito;11;1;3411;3411;0
2020;NORTE;AC;PORTO WALTER;PROS;Prefeito;11;1;2012;2012;0
2020;NORTE;AC;RIO BRANCO;AVANTE;Prefeito;11;1;2294;2294;0
2020;NORTE;AC;RIO BRANCO;MDB;Prefeito;11;1;12362;12362;0
2020;NORTE;AC;RIO BRANCO;PP;Prefeito;11;1;87987;87987;0
2020;NORTE;AC;RIO BRANCO;PSB;Prefeito;11;1;40250;40250;0
2020;NORTE;AC;RIO BRANCO;PSC;Prefeito;11;1;1509;1509;0
2020;NORTE;AC;RIO BRANCO;PSDB;Prefeito;11;1;25939;25939;0
2020;NORTE;AC;RIO BRANCO;PT;Prefeito;11;1;7121;7121;0
2020;NORTE;AC;RODRIGUES ALVES;PP;Prefeito;11;1;307;307;0
2020;NORTE;AC;RODRIGUES ALVES;PROS;Prefeito;11;1;5977;5977;0
2020;NORTE;AC;RODRIGUES ALVES;PSOL;Prefeito;11;1;4;4;0
2020;NORTE;AC;RODRIGUES ALVES;PT;Prefeito;11;1;2340;2340;0
2020;NORTE;AC;RODRIGUES ALVES;PTB;Prefeito;11;1;343;343;0
2020;NORTE;AC;SANTA ROSA DO PURUS;MDB;Prefeito;11;1;1156;1156;0
2020;NORTE;AC;SANTA ROSA DO PURUS;PP;Prefeito;11;1;1016;1016;0
2020;NORTE;AC;SANTA ROSA DO PURUS;PROS;Prefeito;11;1;94;94;0
2020;NORTE;AC;SANTA ROSA DO PURUS;PSDB;Prefeito;11;1;579;579;0
2020;NORTE;AC;SENA MADUREIRA;MDB;Prefeito;11;1;12183;12183;0
2020;NORTE;AC;SENA MADUREIRA;PP;Prefeito;11;1;9329;9329;0
2020;NORTE;AC;SENADOR GUIOMARD;MDB;Prefeito;11;1;3272;3272;0
2020;NORTE;AC;SENADOR GUIOMARD;PP;Prefeito;11;1;4428;4428;0
2020;NORTE;AC;SENADOR GUIOMARD;PSDB;Prefeito;11;1;1662;1662;0
2020;NORTE;AC;SENADOR GUIOMARD;PSL;Prefeito;11;1;263;263;0
2020;NORTE;AC;SENADOR GUIOMARD;SOLIDARIEDADE;Prefeito;11;1;3993;3993;0
2020;NORTE;AC;TARAUACÁ;DEM;Prefeito;11;1;4650;4650;0
2020;NORTE;AC;TARAUACÁ;MDB;Prefeito;11;1;3634;3634;0
2020;NORTE;AC;TARAUACÁ;PC do B;Prefeito;11;1;4480;4480;0
2020;NORTE;AC;TARAUACÁ;PDT;Prefeito;11;1;5461;5461;0
2020;NORTE;AC;TARAUACÁ;PSOL;Prefeito;11;1;280;280;0
2020;NORTE;AC;TARAUACÁ;PTB;Prefeito;11;1;57;57;0
2020;NORTE;AC;XAPURI;MDB;Prefeito;11;1;1443;1443;0
2020;NORTE;AC;XAPURI;PP;Prefeito;11;1;2338;2338;0
